external_urls;followers;genres;href;id;images;name;popularity;type;uri;most_genre;specific_genre
{'spotify': 'https://open.spotify.com/artist/0D3h8NZqNp7BN97JwtV6eW'};169911;['armenian folk', 'contemporary jazz', 'jazz piano', 'modern jazz piano'];https://api.spotify.com/v1/artists/0D3h8NZqNp7BN97JwtV6eW;0D3h8NZqNp7BN97JwtV6eW;[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb173d017dfb82931b474a3dcb', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174173d017dfb82931b474a3dcb', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178173d017dfb82931b474a3dcb', 'width': 160}];tigran hamasyan;45;artist;spotify:artist:0D3h8NZqNp7BN97JwtV6eW;[(8, 'contemporary jazz'), (2, 'modern jazz piano'), (1, 'jazz piano'), (1, 'armenian folk')];{'folk', 'jazz', 'contemporary', 'modern', 'piano', 'armenian'}
{'spotify': 'https://open.spotify.com/artist/0EDuC6lJh1F3Z9I7h62nFe'};224;[];https://api.spotify.com/v1/artists/0EDuC6lJh1F3Z9I7h62nFe;0EDuC6lJh1F3Z9I7h62nFe;[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb05083d2e63e8a8f3ef093a3b', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517405083d2e63e8a8f3ef093a3b', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17805083d2e63e8a8f3ef093a3b', 'width': 160}];andrea cotroneo;2;artist;spotify:artist:0EDuC6lJh1F3Z9I7h62nFe;[];set()
{'spotify': 'https://open.spotify.com/artist/0FRKTwQSToXpCxYMhyUzYY'};418351;['blackgaze', 'doomgaze', 'dream pop', 'nu gaze'];https://api.spotify.com/v1/artists/0FRKTwQSToXpCxYMhyUzYY;0FRKTwQSToXpCxYMhyUzYY;[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a54f2b401501b3569990c256', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02a54f2b401501b3569990c256', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851a54f2b401501b3569990c256', 'width': 64}];have a nice life;55;artist;spotify:artist:0FRKTwQSToXpCxYMhyUzYY;[(10, 'blackgaze'), (5, 'doomgaze'), (3, 'nu gaze'), (3, 'dream pop')];{'dream', 'blackgaze', 'doomgaze', 'pop', 'gaze', 'nu'}
{'spotify': 'https://open.spotify.com/artist/0GDGKpJFhVpcjIGF8N6Ewt'};1534689;['alternative metal', 'french death metal', 'french metal', 'groove metal', 'metal', 'nu metal', 'progressive groove metal'];https://api.spotify.com/v1/artists/0GDGKpJFhVpcjIGF8N6Ewt;0GDGKpJFhVpcjIGF8N6Ewt;[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb96c4949ee078fbef5d5adb68', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517496c4949ee078fbef5d5adb68', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17896c4949ee078fbef5d5adb68', 'width': 160}];gojira;67;artist;spotify:artist:0GDGKpJFhVpcjIGF8N6Ewt;[(8, 'metal'), (6, 'alternative metal'), (5, 'french metal'), (4, 'nu metal'), (3, 'progressive groove metal'), (3, 'groove metal'), (1, 'french death metal')];{'groove', 'alternative', 'french', 'progressive', 'metal', 'death', 'nu'}
{'spotify': 'https://open.spotify.com/artist/0H9VJTe5YIHfLKqor9C5Ln'};859;['tzadik'];https://api.spotify.com/v1/artists/0H9VJTe5YIHfLKqor9C5Ln;0H9VJTe5YIHfLKqor9C5Ln;[{'height': 1000, 'url': 'https://i.scdn.co/image/66b835c7a864cc532ea2737995d684b8f4e6091f', 'width': 1000}, {'height': 640, 'url': 'https://i.scdn.co/image/6a7232d289c79a7dcceaa125839a306aa027e396', 'width': 640}, {'height': 200, 'url': 'https://i.scdn.co/image/49b58e98b4fa43d706c2ce1e35daec7e2402abc5', 'width': 200}, {'height': 64, 'url': 'https://i.scdn.co/image/8f8aa4930bbf55dc870a9c0da0d2e97cc348a6ab', 'width': 64}];mark applebaum;1;artist;spotify:artist:0H9VJTe5YIHfLKqor9C5Ln;[(1, 'tzadik')];{'tzadik'}
{'spotify': 'https://open.spotify.com/artist/0HJQZHbKgYyWCDc8uVko6S'};37768;['atmospheric post-metal', 'drone metal', 'philly indie', 'post-metal', 'sci-fi metal', 'sludge metal'];https://api.spotify.com/v1/artists/0HJQZHbKgYyWCDc8uVko6S;0HJQZHbKgYyWCDc8uVko6S;[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb97cef2ee307e87e7273cda7b', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517497cef2ee307e87e7273cda7b', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17897cef2ee307e87e7273cda7b', 'width': 160}];rosetta;24;artist;spotify:artist:0HJQZHbKgYyWCDc8uVko6S;[(20, 'post-metal'), (10, 'sludge metal'), (10, 'drone metal'), (7, 'atmospheric post-metal'), (6, 'sci-fi metal'), (2, 'philly indie')];{'philly', 'post-metal', 'sludge', 'indie', 'atmospheric', 'drone', 'metal', 'sci-fi'}
{'spotify': 'https://open.spotify.com/artist/0Ivm3PYwfVFeq2trxYqLi2'};24647;['atmospheric post-metal', 'instrumental post-rock', 'post-metal', 'post-rock'];https://api.spotify.com/v1/artists/0Ivm3PYwfVFeq2trxYqLi2;0Ivm3PYwfVFeq2trxYqLi2;[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb62dd0d4bee4081236adea9d1', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517462dd0d4bee4081236adea9d1', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17862dd0d4bee4081236adea9d1', 'width': 160}];*shels;25;artist;spotify:artist:0Ivm3PYwfVFeq2trxYqLi2;[(20, 'post-metal'), (13, 'post-rock'), (12, 'instrumental post-rock'), (7, 'atmospheric post-metal')];{'post-metal', 'atmospheric', 'post-rock', 'instrumental'}
{'spotify': 'https://open.spotify.com/artist/0LGX3mkYo7ckQz4JyZrifu'};7449;['spanish indie rock', 'spanish metal', 'spanish post-rock', 'spanish progressive rock'];https://api.spotify.com/v1/artists/0LGX3mkYo7ckQz4JyZrifu;0LGX3mkYo7ckQz4JyZrifu;[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb8e7cd9a2760b92794d237819', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051748e7cd9a2760b92794d237819', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1788e7cd9a2760b92794d237819', 'width': 160}];jardín de la croix;9;artist;spotify:artist:0LGX3mkYo7ckQz4JyZrifu;[(1, 'spanish progressive rock'), (1, 'spanish post-rock'), (1, 'spanish metal'), (1, 'spanish indie rock')];{'indie', 'rock', 'post-rock', 'progressive', 'metal', 'spanish'}
{'spotify': 'https://open.spotify.com/artist/0MG4LXIw7n4x0wjDc6WYXk'};247269;['ambient post-rock', 'american post-rock', 'doomgaze', 'drone metal', 'instrumental post-rock', 'post-rock'];https://api.spotify.com/v1/artists/0MG4LXIw7n4x0wjDc6WYXk;0MG4LXIw7n4x0wjDc6WYXk;[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebc6f9b3c9396f67fc1de0eec0', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174c6f9b3c9396f67fc1de0eec0', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178c6f9b3c9396f67fc1de0eec0', 'width': 160}];this will destroy you;44;artist;spotify:artist:0MG4LXIw7n4x0wjDc6WYXk;[(13, 'post-rock'), (12, 'instrumental post-rock'), (10, 'drone metal'), (5, 'doomgaze'), (4, 'american post-rock'), (1, 'ambient post-rock')];{'ambient', 'post-rock', 'american', 'doomgaze', 'drone', 'metal', 'instrumental'}
{'spotify': 'https://open.spotify.com/artist/0QBQgTnTS6JORFHr7k0KRJ'};22509;['italian alternative', 'italian emo', 'italian indie pop'];https://api.spotify.com/v1/artists/0QBQgTnTS6JORFHr7k0KRJ;0QBQgTnTS6JORFHr7k0KRJ;[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebb0fecc50835ecf668d32fc57', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174b0fecc50835ecf668d32fc57', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178b0fecc50835ecf668d32fc57', 'width': 160}];gomma;27;artist;spotify:artist:0QBQgTnTS6JORFHr7k0KRJ;[(5, 'italian emo'), (5, 'italian alternative'), (3, 'italian indie pop')];{'alternative', 'indie', 'emo', 'pop', 'italian'}
