external_urls;followers;genres;href;id;images;name;popularity;type;uri;most_genre;specific_genre
{'spotify': 'https://open.spotify.com/artist/7iF8WHm0PoYS4AnEebM3bv'};3035;['mathcore'];https://api.spotify.com/v1/artists/7iF8WHm0PoYS4AnEebM3bv;7iF8WHm0PoYS4AnEebM3bv;[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0fb32ac9b4d766e0da1a716b', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740fb32ac9b4d766e0da1a716b', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780fb32ac9b4d766e0da1a716b', 'height': 160, 'width': 160}];weston super maim;15;artist;spotify:artist:7iF8WHm0PoYS4AnEebM3bv;[(np.int64(4), 'mathcore')];{'mathcore'}
{'spotify': 'https://open.spotify.com/artist/7CJOQujUReYlz6764HKQWz'};339;[];https://api.spotify.com/v1/artists/7CJOQujUReYlz6764HKQWz;7CJOQujUReYlz6764HKQWz;[{'url': 'https://i.scdn.co/image/ab6761610000e5ebf2c863f2f8df485594b7d783', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174f2c863f2f8df485594b7d783', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178f2c863f2f8df485594b7d783', 'height': 160, 'width': 160}];equinox trio;3;artist;spotify:artist:7CJOQujUReYlz6764HKQWz;[];set()
{'spotify': 'https://open.spotify.com/artist/6RuS4udHwx3C9ysk4KXtNw'};47724;['japanese jazz fusion', 'japanese post-rock', 'math rock', 'progressive jazz fusion'];https://api.spotify.com/v1/artists/6RuS4udHwx3C9ysk4KXtNw;6RuS4udHwx3C9ysk4KXtNw;[{'url': 'https://i.scdn.co/image/ab6761610000e5eb8019d6bac6a920bfc83464b7', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051748019d6bac6a920bfc83464b7', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1788019d6bac6a920bfc83464b7', 'height': 160, 'width': 160}];jizue;36;artist;spotify:artist:6RuS4udHwx3C9ysk4KXtNw;[(np.int64(14), 'progressive jazz fusion'), (np.int64(9), 'math rock'), (np.int64(5), 'japanese post-rock'), (np.int64(1), 'japanese jazz fusion')];{'post-rock', 'japanese', 'math', 'jazz', 'progressive', 'fusion', 'rock'}
{'spotify': 'https://open.spotify.com/artist/6NVzd3Lv9yMFIf1bsXNLIp'};70053;['instrumental math rock', 'japanese post-rock', 'math rock', 'modern jazz trio'];https://api.spotify.com/v1/artists/6NVzd3Lv9yMFIf1bsXNLIp;6NVzd3Lv9yMFIf1bsXNLIp;[{'url': 'https://i.scdn.co/image/ab67616d0000b273aec2ea1e2ac94bdcd9134f36', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02aec2ea1e2ac94bdcd9134f36', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851aec2ea1e2ac94bdcd9134f36', 'height': 64, 'width': 64}];mouse on the keys;36;artist;spotify:artist:6NVzd3Lv9yMFIf1bsXNLIp;[(np.int64(10), 'instrumental math rock'), (np.int64(9), 'math rock'), (np.int64(5), 'japanese post-rock'), (np.int64(2), 'modern jazz trio')];{'post-rock', 'japanese', 'modern', 'math', 'jazz', 'instrumental', 'trio', 'rock'}
{'spotify': 'https://open.spotify.com/artist/1j8QyWpOJKAe6Iw2KvEg2j'};18778;[];https://api.spotify.com/v1/artists/1j8QyWpOJKAe6Iw2KvEg2j;1j8QyWpOJKAe6Iw2KvEg2j;[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0415960ce63e37ee0fd46ec0', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740415960ce63e37ee0fd46ec0', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780415960ce63e37ee0fd46ec0', 'height': 160, 'width': 160}];audiotree;59;artist;spotify:artist:1j8QyWpOJKAe6Iw2KvEg2j;[];set()
{'spotify': 'https://open.spotify.com/artist/5C4iAQXHETeW2mJgsNeqQQ'};34765;['livetronica'];https://api.spotify.com/v1/artists/5C4iAQXHETeW2mJgsNeqQQ;5C4iAQXHETeW2mJgsNeqQQ;[{'url': 'https://i.scdn.co/image/ab6761610000e5eb097ac9e52965f96f07558d1e', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174097ac9e52965f96f07558d1e', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178097ac9e52965f96f07558d1e', 'height': 160, 'width': 160}];jojo mayer;25;artist;spotify:artist:5C4iAQXHETeW2mJgsNeqQQ;[(np.int64(2), 'livetronica')];{'livetronica'}
{'spotify': 'https://open.spotify.com/artist/5wu05jGsVMAFHYMYHqCB9l'};211139;['contemporary jazz', 'israeli jazz', 'jazz', 'jazz double bass', 'jazz trumpet'];https://api.spotify.com/v1/artists/5wu05jGsVMAFHYMYHqCB9l;5wu05jGsVMAFHYMYHqCB9l;[{'url': 'https://i.scdn.co/image/ab6761610000e5eba5c2f343250e7a1facab928f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174a5c2f343250e7a1facab928f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178a5c2f343250e7a1facab928f', 'height': 160, 'width': 160}];avishai cohen;49;artist;spotify:artist:5wu05jGsVMAFHYMYHqCB9l;[(np.int64(8), 'contemporary jazz'), (np.int64(3), 'jazz'), (np.int64(2), 'jazz trumpet'), (np.int64(1), 'jazz double bass'), (np.int64(1), 'israeli jazz')];{'bass', 'trumpet', 'jazz', 'israeli', 'double', 'contemporary'}
{'spotify': 'https://open.spotify.com/artist/7DeuppKQdCVhuWrzzCBBpc'};254941;['japanese jazz', 'jazz fusion', 'modern jazz piano'];https://api.spotify.com/v1/artists/7DeuppKQdCVhuWrzzCBBpc;7DeuppKQdCVhuWrzzCBBpc;[{'url': 'https://i.scdn.co/image/ab6761610000e5ebb1c5a36bf91f271bebd9695e', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174b1c5a36bf91f271bebd9695e', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178b1c5a36bf91f271bebd9695e', 'height': 160, 'width': 160}];hiromi;48;artist;spotify:artist:7DeuppKQdCVhuWrzzCBBpc;[(np.int64(2), 'modern jazz piano'), (np.int64(1), 'jazz fusion'), (np.int64(1), 'japanese jazz')];{'japanese', 'modern', 'piano', 'jazz', 'fusion'}
{'spotify': 'https://open.spotify.com/artist/6ZK2nrW8aCTg8Bid7I7N10'};329183;['dark pop', 'doomgaze', 'gaian doom', 'sacramento indie'];https://api.spotify.com/v1/artists/6ZK2nrW8aCTg8Bid7I7N10;6ZK2nrW8aCTg8Bid7I7N10;[{'url': 'https://i.scdn.co/image/ab6761610000e5eb86f7c8a4e1232d85615a6679', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517486f7c8a4e1232d85615a6679', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17886f7c8a4e1232d85615a6679', 'height': 160, 'width': 160}];chelsea wolfe;53;artist;spotify:artist:6ZK2nrW8aCTg8Bid7I7N10;[(np.int64(5), 'doomgaze'), (np.int64(4), 'gaian doom'), (np.int64(1), 'sacramento indie'), (np.int64(1), 'dark pop')];{'pop', 'dark', 'doom', 'doomgaze', 'sacramento', 'indie', 'gaian'}
{'spotify': 'https://open.spotify.com/artist/5r1fQsxkiQl0VwUlERnDBP'};65917;['american metalcore', 'avant-garde metal', 'djent', 'mathcore'];https://api.spotify.com/v1/artists/5r1fQsxkiQl0VwUlERnDBP;5r1fQsxkiQl0VwUlERnDBP;[{'url': 'https://i.scdn.co/image/ab67616d0000b27302817738bfc59f3f7f81665b', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0202817738bfc59f3f7f81665b', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485102817738bfc59f3f7f81665b', 'height': 64, 'width': 64}];car bomb;33;artist;spotify:artist:5r1fQsxkiQl0VwUlERnDBP;[(np.int64(22), 'djent'), (np.int64(7), 'avant-garde metal'), (np.int64(4), 'mathcore'), (np.int64(1), 'american metalcore')];{'avant-garde', 'djent', 'metal', 'metalcore', 'mathcore', 'american'}
