Name;Country;Genre;Status;URL
M.I.S.T.;Russia;Gothic Metal;Split-up;https://www.metal-archives.com/bands/M.I.S.T./3540397159
M.ill.ion;Sweden;Melodic Heavy Metal/Hard Rock;Split-up;https://www.metal-archives.com/bands/M.ill.ion/3540473103
M.Ire;Italy;"Black/Death Metal (early); Heavy Metal/Rock (later)";Unknown;https://www.metal-archives.com/bands/M.Ire/45929
M.K. Ultra;Mexico;Thrash/Speed Metal;Active;https://www.metal-archives.com/bands/M.K._Ultra/3540438650
M.K.Z.;France;Heavy Metal/Hard Rock;Split-up;https://www.metal-archives.com/bands/M.K.Z./63190
M.N.R.;Brazil;Goregrind;On hold;https://www.metal-archives.com/bands/M.N.R./3540353745
M.O.B.;Sweden;Heavy Metal/Hard Rock;Split-up;https://www.metal-archives.com/bands/M.O.B./99937
M.O.D.;United States;Thrash Metal/Crossover/Hardcore Punk;Active;https://www.metal-archives.com/bands/M.O.D./1049
M.O.D. ClassicTK;United States;Thrash Metal/Crossover/Hardcore;Changed name;https://www.metal-archives.com/bands/M.O.D._ClassicTK/3540530883
M.O.M. Hunters;Germany;Thrash Metal;Changed name;https://www.metal-archives.com/bands/M.O.M._Hunters/120607
M.O.O.N.;Türkiye;Doom/Death Metal;Split-up;https://www.metal-archives.com/bands/M.O.O.N./76788
M.O.P.;Belgium;Thrash Metal/Crossover;Split-up;https://www.metal-archives.com/bands/M.O.P./3540317606
M.O.R. Death;Czechia;Death Metal;Split-up;https://www.metal-archives.com/bands/M.O.R._Death/95690
M.O.R.B.O.;Argentina;Progressive Thrash Metal;Unknown;https://www.metal-archives.com/bands/M.O.R.B.O./3540543254
M.O.R.G.;Portugal;Thrash Metal;Active;https://www.metal-archives.com/bands/M.O.R.G./3540294413
M.O.R.T.A.J.A.;Argentina;Power Metal;Split-up;https://www.metal-archives.com/bands/M.O.R.T.A.J.A./68685
M.O.R.T.H.;Italy;Thrash Metal;Split-up;https://www.metal-archives.com/bands/M.O.R.T.H./3540323006
M.O.S.S.;Cuba;Goregrind;Active;https://www.metal-archives.com/bands/M.O.S.S./3540517570
M.o.s.s.a.D;Poland;Heavy Metal;Split-up;https://www.metal-archives.com/bands/M.o.s.s.a.D/3540314225
M.Pheral;France;Industrial Death Metal;Split-up;https://www.metal-archives.com/bands/M.Pheral/9851
M.S.;Romania;Heavy Metal;Active;https://www.metal-archives.com/bands/M.S./19608
M.S.I.;Australia;Brutal Death Metal;Split-up;https://www.metal-archives.com/bands/M.S.I./5612
M.S.T;France;"Punk (early); Thrash Metal/Crossover (later)";Split-up;https://www.metal-archives.com/bands/M.S.T/3540280931
M.S.W.;United States;Thrash Metal;Active;https://www.metal-archives.com/bands/M.S.W./32684
M.T. Fuji;Japan;Hard Rock;Split-up;https://www.metal-archives.com/bands/M.T._Fuji/3540350232
M.T. Web;United States;Progressive Doom Metal;Split-up;https://www.metal-archives.com/bands/M.T._Web/3540465204
M.T.F.;United States;Heavy Metal;Split-up;https://www.metal-archives.com/bands/M.T.F./46400
M.T.G.;Italy;Thrash Metal;Active;https://www.metal-archives.com/bands/M.T.G./3540520667
M.Y.S.T;Türkiye;Heavy Metal;Split-up;https://www.metal-archives.com/bands/M.Y.S.T/3940
M.Z.;France;Neoclassical Metal;Split-up;https://www.metal-archives.com/bands/M.Z./22664
M/Eye;Russia;Southern/Stoner Metal;Active;https://www.metal-archives.com/bands/M-Eye/3540447185
M+;Czechia;Black/Heavy Metal;Active;https://www.metal-archives.com/bands/M%2B/3540492942
M1 Garand;Brazil;Raw Black Metal;Active;https://www.metal-archives.com/bands/M1_Garand/3540503346
M1-A1;United States;Progressive Heavy/Power Metal;Split-up;https://www.metal-archives.com/bands/M1-A1/124080
M16;Canada;Progressive Thrash/Speed Metal;Active;https://www.metal-archives.com/bands/M16/3540389939
M1832;United States;Black Metal;Active;https://www.metal-archives.com/bands/M1832/3540516978
M1ke;Portugal;Progressive Metal;Active;https://www.metal-archives.com/bands/M1ke/3540493059
M1n14turæ5;Mexico;Groove Metal;Active;https://www.metal-archives.com/bands/M1n14tur%C3%A65/3540443078
M26;Brazil;Atmospheric Doom/Death Metal;Active;https://www.metal-archives.com/bands/M26/11250
M60 in Hands;Brazil;Raw Black Metal/Noise;Active;https://www.metal-archives.com/bands/M60_in_Hands/3540523170
M67;Brazil;Groove Metal/Hardcore;Active;https://www.metal-archives.com/bands/M67/3540460722
MA;North Macedonia;Thrash Metal;Split-up;https://www.metal-archives.com/bands/MA/3540351414
MA-AT;South Africa;Stoner/Doom Metal;Active;https://www.metal-archives.com/bands/MA-AT/3540452685
Ma.Lo.Ga;Argentina;Groove/Death Metal;Unknown;https://www.metal-archives.com/bands/Ma.Lo.Ga/125452
Ma'anish;Israel;Technical Death/Progressive Metal;Active;https://www.metal-archives.com/bands/Ma%27anish/3540402274
Maahes;Germany;Black Metal;Active;https://www.metal-archives.com/bands/Maahes/3540433408
Maahlas;Norway;Progressive Melodic Death/Black Metal;Active;https://www.metal-archives.com/bands/Maahlas/3540383036
Maailman Äänet;Finland;Symphonic Gothic/Groove Metal;Active;https://www.metal-archives.com/bands/Maailman_%C3%84%C3%A4net/3540543996
Maal;United States;Death/Doom Metal;Active;https://www.metal-archives.com/bands/Maal/3540520792
Määlèxzphïïxüülbrévrbvrè;Unknown;Black Metal;Active;https://www.metal-archives.com/bands/M%C3%A4%C3%A4l%C3%A8xzph%C3%AF%C3%AFx%C3%BC%C3%BClbr%C3%A9vrbvr%C3%A8/3540485666
Maanaim;Brazil;Death Metal;Active;https://www.metal-archives.com/bands/Maanaim/3540421922
Maanelyst;Norway;Black Metal;Split-up;https://www.metal-archives.com/bands/Maanelyst/46801
Maar;Malaysia;Black/Death/Thrash Metal;Unknown;https://www.metal-archives.com/bands/Maar/51600
Maāra;Austria;Doom/Black Metal;Active;https://www.metal-archives.com/bands/Ma%C4%81ra/3540540426
Maärdh;Russia;Raw Black Metal/Punk;Unknown;https://www.metal-archives.com/bands/Ma%C3%A4rdh/3540509764
Maat;Germany;Death Metal;Active;https://www.metal-archives.com/bands/Maat/3540318059
Mäax;United States;Black Metal;Active;https://www.metal-archives.com/bands/M%C3%A4ax/3540275581
Mab;Italy;Gothic Metal/Rock;Split-up;https://www.metal-archives.com/bands/Mab/3540335445
Mabbul;Mexico;Black/Doom Metal;Active;https://www.metal-archives.com/bands/Mabbul/3540430757
Mabel;United States;Metalcore;Split-up;https://www.metal-archives.com/bands/Mabel/3540502331
Mabon;Switzerland;Thrash Metal;Active;https://www.metal-archives.com/bands/Mabon/68337
Mabthera;Hungary;Black Metal;Active;https://www.metal-archives.com/bands/Mabthera/3540395227
Mábura;Brazil;Psychedelic Stoner/Doom Metal;Active;https://www.metal-archives.com/bands/M%C3%A1bura/3540473126
Mabus;Germany;Death Metal;Active;https://www.metal-archives.com/bands/Mabus/739
Mabus 666;Ireland;Death/Black/Thrash Metal;Split-up;https://www.metal-archives.com/bands/Mabus_666/16203
Mabuse;Norway;Death Metal;Active;https://www.metal-archives.com/bands/Mabuse/3540342475
Mac Beth;Czechia;Melodic Heavy Metal/Hard Rock;Split-up;https://www.metal-archives.com/bands/Mac_Beth/47648
Mac Lord;Italy;Heavy Metal;Split-up;https://www.metal-archives.com/bands/Mac_Lord/3540473512
Mac Tyroon;Germany;Progressive Metal;Active;https://www.metal-archives.com/bands/Mac_Tyroon/3540516904
Mac-11;Netherlands;Heavy/Groove Metal;Split-up;https://www.metal-archives.com/bands/Mac-11/39166
Macabius;France;Death Metal;Split-up;https://www.metal-archives.com/bands/Macabius/14324
Macabra;International;Death Metal;Active;https://www.metal-archives.com/bands/Macabra/3540337446
Macabra;Brazil;Thrash Metal;Split-up;https://www.metal-archives.com/bands/Macabra/13384
Macabraa;Dominican Republic;Death Metal;Split-up;https://www.metal-archives.com/bands/Macabraa/3540392077
Macabre;United States;Psychedelic/Blues Rock;Changed name;https://www.metal-archives.com/bands/Macabre/3540349453
Macabre;United States;Death Metal;Changed name;https://www.metal-archives.com/bands/Macabre/3540436635
Macabre;United States;Metalcore;Changed name;https://www.metal-archives.com/bands/Macabre/3540474787
Macabre;United States;Thrash/Death Metal/Grindcore;Active;https://www.metal-archives.com/bands/Macabre/167
Macabre;Sweden;Death/Thrash Metal;Changed name;https://www.metal-archives.com/bands/Macabre/3540374518
Macabre Agony;Brazil;Death Metal;Split-up;https://www.metal-archives.com/bands/Macabre_Agony/12968
Macabre Blasphemy;Russia;Death/Black Metal;Unknown;https://www.metal-archives.com/bands/Macabre_Blasphemy/127396
Macabre Cérémonie;France;Black Metal;Active;https://www.metal-archives.com/bands/Macabre_C%C3%A9r%C3%A9monie/3540394247
Macabre Consilium;International;Raw Black Metal/Dark Ambient;Unknown;https://www.metal-archives.com/bands/Macabre_Consilium/3540501901
