Name;Country;Genre;Status;URL
Gabriels Hounds;United States;Melodic Death Metal;Split-up;https://www.metal-archives.com/bands/Gabriels_Hounds/3540269629
Gabryel;Poland;Groove/Thrash Metal;Split-up;https://www.metal-archives.com/bands/Gabryel/3540487774
Gack;United States;Groove/Thrash Metal;Split-up;https://www.metal-archives.com/bands/Gack/5202
Gadaren;Argentina;Black Metal;Active;https://www.metal-archives.com/bands/Gadaren/3540493529
Gadarian;Croatia;Melodic Death Metal;Unknown;https://www.metal-archives.com/bands/Gadarian/31796
Gadereel;Chile;Black Metal;Active;https://www.metal-archives.com/bands/Gadereel/124519
Gadfly;Japan;Heavy Metal;Split-up;https://www.metal-archives.com/bands/Gadfly/3540513845
Gadget;Sweden;Grindcore;Active;https://www.metal-archives.com/bands/Gadget/15036
Gadgets Sons;United States;Sludge Metal/Metalcore;Active;https://www.metal-archives.com/bands/Gadgets_Sons/3540472084
Gadir;Italy;Raw Black Metal;Active;https://www.metal-archives.com/bands/Gadir/3540467162
Gadnium;United States;Heavy/Power/Thrash Metal;Split-up;https://www.metal-archives.com/bands/Gadnium/3540504155
Gadon;Mexico;Thrash Metal;Active;https://www.metal-archives.com/bands/Gadon/3540350180
Gadrel;United States;Technical Deathcore/Metalcore;Changed name;https://www.metal-archives.com/bands/Gadrel/3540466416
Gadus Morhua;Finland;Thrash/Death Metal;Active;https://www.metal-archives.com/bands/Gadus_Morhua/3540267023
Gae Bolga;Belgium;Thrash Metal;Split-up;https://www.metal-archives.com/bands/Gae_Bolga/3540271950
Gaebalein;United States;Melodic Death Metal;Split-up;https://www.metal-archives.com/bands/Gaebalein/2899
Gaedhil;Spain;Pagan/Black Metal;Unknown;https://www.metal-archives.com/bands/Gaedhil/104608
Gaelbah;Spain;Heavy Metal;Active;https://www.metal-archives.com/bands/Gaelbah/3540352760
Gaeldorn Jhan;Canada;Black Metal;Split-up;https://www.metal-archives.com/bands/Gaeldorn_Jhan/6596
Gaerea;Portugal;Black Metal;Active;https://www.metal-archives.com/bands/Gaerea/3540418247
Gaf;Finland;Death Metal/Grindcore;Active;https://www.metal-archives.com/bands/Gaf/3540296271
Gaffed;United States;Brutal Death Metal;Active;https://www.metal-archives.com/bands/Gaffed/36758
Gaffinbash;United States;Technical Speed/Thrash Metal;Changed name;https://www.metal-archives.com/bands/Gaffinbash/3540486254
GAFR;United Kingdom;Post-Black Metal/Ambient;Active;https://www.metal-archives.com/bands/GAFR/3540455157
Gagak Bulan;Indonesia;Thrash Metal;Active;https://www.metal-archives.com/bands/Gagak_Bulan/3540264889
Gagak Rimang Stoned;Indonesia;Stoner Metal/Rock;Active;https://www.metal-archives.com/bands/Gagak_Rimang_Stoned/3540379475
Gagarin;Spain;Sludge/Doom/Post-Metal;Active;https://www.metal-archives.com/bands/Gagarin/3540496707
Gagas;Slovakia;Avant-garde/Progressive Metal;Active;https://www.metal-archives.com/bands/Gagas/67377
Gágor;Slovakia;Death/Thrash Metal/Crust;Active;https://www.metal-archives.com/bands/G%C3%A1gor/3540529427
Gagtungr;Ukraine;Black Metal;Active;https://www.metal-archives.com/bands/Gagtungr/3540361637
Gagulta;Greece;Sludge Metal;Active;https://www.metal-archives.com/bands/Gagulta/3540439395
Gaia;Denmark;Stoner/Doom Metal;Active;https://www.metal-archives.com/bands/Gaia/3540396039
Gaia;Ireland;Stoner/Sludge Metal;Changed name;https://www.metal-archives.com/bands/Gaia/3540470898
Gaïa;France;Melodic Progressive Metal;Unknown;https://www.metal-archives.com/bands/Ga%C3%AFa/3540290979
Gaia;United States;Heavy Metal;Active;https://www.metal-archives.com/bands/Gaia/36771
Gaia;Korea, South;Gothic/Folk Metal;Split-up;https://www.metal-archives.com/bands/Gaia/73896
