artist;month;year;Date;days_to_event;addressCountry;addressLocality;geocoordinates;distance_from_Sesto;popularity;specific_genre
dream theater;11;2024;12/11/2024 19:00;25;Luxembourg;Esch-sur-alzette;(49.5, 5.95);505.7;63;{'progressive', 'metal'}
dream theater;11;2024;13/11/2024 19:00;26;Switzerland;Dübendorf;(47.4, 8.6);213.4;63;{'progressive', 'metal'}
dream theater;11;2024;14/11/2024 20:00;27;France;Lyon;(45.73, 4.83);343.8;63;{'progressive', 'metal'}
dream theater;11;2024;16/11/2024 19:00;29;Portugal;Lisboa;(38.77, -9.09);1684.9;63;{'progressive', 'metal'}
dream theater;11;2024;17/11/2024 19:00;30;Spain;Leganés;(40.33, -3.76);1205.5;63;{'progressive', 'metal'}
dream theater;11;2024;20/11/2024 19:00;33;Germany;Stuttgart;(48.78, 9.17);361.3;63;{'progressive', 'metal'}
dream theater;11;2024;21/11/2024 19:00;34;Germany;Frankfurt Am Main;(50.1, 8.52);510.9;63;{'progressive', 'metal'}
dream theater;11;2024;23/11/2024 19:00;36;France;Paris;(48.9, 2.36);640.8;63;{'progressive', 'metal'}
dream theater;11;2024;24/11/2024 19:00;37;Netherlands;Amsterdam;(52.31, 4.94);816.6;63;{'progressive', 'metal'}
nils frahm;10;2024;18/10/2024 18:00;0;Netherlands;Amsterdam;(52.36, 4.87);823.6;61;{'electronica', 'compositional', 'darkwave', 'neoclassical', 'ambient'}
nils frahm;10;2024;19/10/2024 19:00;1;Belgium;Antwerpen;(51.22, 4.42);725.8;61;{'electronica', 'compositional', 'darkwave', 'neoclassical', 'ambient'}
arca;10;2024;31/10/2024 18:00;13;Italy;Torino;(45.03, 7.66);135.1;61;{'experimental', 'art', 'escape', 'fluxwork', 'room', 'deconstructed', 'pop', 'ai', 'club'}
arca;11;2024;01/11/2024 17:30;14;Italy;Torino;(45.03, 7.66);135.1;61;{'experimental', 'art', 'escape', 'fluxwork', 'room', 'deconstructed', 'pop', 'ai', 'club'}
opeth;2;2025;09/02/2025 19:00;114;Finland;Helsinki;(60.19, 24.92);1932.8;59;{'metal', 'alternative', 'swedish', 'progressive', 'death'}
opeth;2;2025;11/02/2025 19:00;116;Sweden;Stockholm;(59.32, 18.1);1645.4;59;{'metal', 'alternative', 'swedish', 'progressive', 'death'}
opeth;2;2025;12/02/2025 19:00;117;Norway;Oslo;(59.92, 10.75);1604.5;59;{'metal', 'alternative', 'swedish', 'progressive', 'death'}
opeth;2;2025;14/02/2025 19:00;119;Denmark;København S;(55.66, 12.59);1151.3;59;{'metal', 'alternative', 'swedish', 'progressive', 'death'}
opeth;2;2025;15/02/2025 19:00;120;Germany;Hamburg;(53.55, 9.96);893.5;59;{'metal', 'alternative', 'swedish', 'progressive', 'death'}
opeth;2;2025;17/02/2025 19:00;122;Germany;Köln;(50.97, 7.02);626.7;59;{'metal', 'alternative', 'swedish', 'progressive', 'death'}
opeth;2;2025;18/02/2025 19:00;123;Germany;Berlin;(52.5, 13.38);832.1;59;{'metal', 'alternative', 'swedish', 'progressive', 'death'}
opeth;2;2025;19/02/2025 19:00;124;Germany;München;(48.13, 11.59);340.5;59;{'metal', 'alternative', 'swedish', 'progressive', 'death'}
opeth;2;2025;21/02/2025 19:00;126;France;Paris;(48.87, 2.33);640.9;59;{'metal', 'alternative', 'swedish', 'progressive', 'death'}
opeth;2;2025;22/02/2025 19:00;127;Netherlands;Amsterdam;(52.31, 4.94);816.6;59;{'metal', 'alternative', 'swedish', 'progressive', 'death'}
opeth;2;2025;23/02/2025 19:00;128;Belgium;Bruxelles;(50.85, 4.35);693.6;59;{'metal', 'alternative', 'swedish', 'progressive', 'death'}
opeth;2;2025;25/02/2025 19:00;130;United Kingdom;Bristol;(51.45, -2.6);1092.3;59;{'metal', 'alternative', 'swedish', 'progressive', 'death'}
opeth;2;2025;26/02/2025 19:00;131;United Kingdom;London;(51.54, -0.15);961.1;59;{'metal', 'alternative', 'swedish', 'progressive', 'death'}
opeth;2;2025;28/02/2025 19:00;133;United Kingdom;Birmingham;(52.48, -1.91);1120.9;59;{'metal', 'alternative', 'swedish', 'progressive', 'death'}
opeth;3;2025;01/03/2025 19:00;134;United Kingdom;Manchester;(53.48, -2.25);1210.8;59;{'metal', 'alternative', 'swedish', 'progressive', 'death'}
opeth;3;2025;02/03/2025 19:00;135;United Kingdom;Glasgow;(55.86, -4.24);1486.7;59;{'metal', 'alternative', 'swedish', 'progressive', 'death'}
san holo;10;2024;18/10/2024 22:00;1;United Kingdom;London;(51.5, -0.1);955.6;57;{'electro', 'electronic', 'future', 'edm', 'brostep', 'dance', 'house', 'trap', 'bass', 'pop'}
san holo;10;2024;19/10/2024 19:00;1;France;Paris;(48.89, 2.39);638.4;57;{'electro', 'electronic', 'future', 'edm', 'brostep', 'dance', 'house', 'trap', 'bass', 'pop'}
kamasi washington;3;2025;12/03/2025 20:00;145;Sweden;Johanneshov;(59.29, 18.08);1641.9;57;{'saxophone', 'soul', 'contemporary', 'jazz', 'afrofuturism', 'indie'}
kamasi washington;3;2025;14/03/2025 20:00;147;Sweden;Malmö;(55.59, 13.01);1150.2;57;{'saxophone', 'soul', 'contemporary', 'jazz', 'afrofuturism', 'indie'}
kamasi washington;3;2025;15/03/2025 20:00;148;Norway;Oslo;(59.91, 10.75);1603.4;57;{'saxophone', 'soul', 'contemporary', 'jazz', 'afrofuturism', 'indie'}
kamasi washington;3;2025;17/03/2025 20:00;150;Germany;Berlin;(52.51, 13.33);831.8;57;{'saxophone', 'soul', 'contemporary', 'jazz', 'afrofuturism', 'indie'}
kamasi washington;3;2025;18/03/2025 20:30;152;Czech Republic;Brno;(49.21, 16.59);689.7;57;{'saxophone', 'soul', 'contemporary', 'jazz', 'afrofuturism', 'indie'}
kamasi washington;3;2025;19/03/2025 20:00;152;Poland;Warszawa;(52.21, 21.01);1137.1;57;{'saxophone', 'soul', 'contemporary', 'jazz', 'afrofuturism', 'indie'}
kamasi washington;3;2025;21/03/2025 21:00;155;Germany;München;(48.17, 11.65);346.7;57;{'saxophone', 'soul', 'contemporary', 'jazz', 'afrofuturism', 'indie'}
kamasi washington;3;2025;23/03/2025 20:30;157;Spain;Eixample;(41.39, 2.16);733.6;57;{'saxophone', 'soul', 'contemporary', 'jazz', 'afrofuturism', 'indie'}
kamasi washington;3;2025;24/03/2025 21:00;158;Spain;Madrid;(40.41, -3.72);1197.8;57;{'saxophone', 'soul', 'contemporary', 'jazz', 'afrofuturism', 'indie'}
