name;startDate;url;artist;addressCountry;addressLocality;streetAddress;postalCode;coordinates
Mastodon @ The Venue at Horseshoe Casino;2024-12-28T20:00:00;https://www.bandsintown.com/e/1033091844-mastodon-at-the-venue-at-horseshoe-casino?came_from=209;Mastodon;United States;Hammond;777 Casino Center Dr;46320;(41.6943426, -87.5069676)
Mastodon @ Las Vegas Festival Grounds;2025-04-12T19:00:00;https://www.bandsintown.com/e/106051162-mastodon-at-las-vegas-festival-grounds?came_from=209;Mastodon;United States;Las Vegas;311 W Sahara Ave;89101;(36.1431237, -115.1621698)
Nils Frahm @ Amsterdam Dance Event (ADE);2024-10-18T18:00:00;https://www.bandsintown.com/e/105686696-nils-frahm-at-amsterdam-dance-event-(ade)?came_from=209;Nils Frahm;Netherlands;Amsterdam;Vondelpark 3;1071 AA;(52.3611342, 4.8748306)
Nils Frahm @ Queen Elizabeth Hall;2024-10-19T19:00:00;https://www.bandsintown.com/e/105686701-nils-frahm-at-queen-elizabeth-hall?came_from=209;Nils Frahm;Belgium;Antwerpen;Koningin Astridplein 26;2018;(51.2180701, 4.421942800000011)
Nils Frahm @ The Music Center at Strathmore;2025-05-08T20:00:00;https://www.bandsintown.com/e/1032612347-nils-frahm-at-the-music-center-at-strathmore?came_from=209;Nils Frahm;United States;North Bethesda;5301 Tuckerman Ln;20852;(39.0314872, -77.1032704)
Arca @ Mana Wynwood Convention Center;2024-10-18T15:00:00;https://www.bandsintown.com/e/1031744309-arca-at-mana-wynwood-convention-center?came_from=209;Arca;United States;Miami;318 NW 23rd St;33127;(25.7983333, -80.2019444)
Arca @ Mana Wynwood Convention Center;2024-10-19T15:00:00;https://www.bandsintown.com/e/1033219726-arca-at-mana-wynwood-convention-center?came_from=209;Arca;United States;Miami;318 NW 23rd St;33127;(25.7983333, -80.2019444)
Arca @ Lingotto Fiere Torino;2024-10-31T18:00:00;https://www.bandsintown.com/e/1031636130-arca-at-lingotto-fiere-torino?came_from=209;Arca;Italy;Torino;Via Nizza;10126;(45.0288779, 7.663663600000001)
Arca @ Lingotto Fiere Torino;2024-11-01T17:30:00;https://www.bandsintown.com/e/1031636008-arca-at-lingotto-fiere-torino?came_from=209;Arca;Italy;Torino;Via Nizza;10126;(45.0288779, 7.663663600000001)
Opeth @ Palladium;2024-10-16T19:00:00;https://www.bandsintown.com/e/105447725-opeth-at-palladium?came_from=209;Opeth;United States;Worcester;261 Main St;01608;(42.266725, -71.80065560000001)
