artist;month;year;Date;days_to_event;addressCountry;addressLocality;geocoordinates;distance_from_Sesto;popularity;specific_genre
dream theater;11;2024;23/11/2024 19:00;35;France;Paris;(48.9, 2.36);640.8;63;{'progressive', 'metal'}
dream theater;11;2024;24/11/2024 19:00;36;Netherlands;Amsterdam;(52.31, 4.94);816.6;63;{'progressive', 'metal'}
nils frahm;10;2024;19/10/2024 19:00;0;Belgium;Antwerpen;(51.22, 4.42);725.8;61;{'neoclassical', 'darkwave', 'electronica', 'ambient', 'compositional'}
arca;10;2024;31/10/2024 18:00;12;Italy;Torino;(45.03, 7.66);135.1;61;{'ai', 'experimental', 'pop', 'deconstructed', 'escape', 'art', 'room', 'club', 'fluxwork'}
arca;11;2024;01/11/2024 17:30;13;Italy;Torino;(45.03, 7.66);135.1;61;{'ai', 'experimental', 'pop', 'deconstructed', 'escape', 'art', 'room', 'club', 'fluxwork'}
opeth;2;2025;09/02/2025 19:00;113;Finland;Helsinki;(60.19, 24.92);1932.8;59;{'swedish', 'progressive', 'metal', 'death', 'alternative'}
opeth;2;2025;11/02/2025 19:00;115;Sweden;Stockholm;(59.32, 18.1);1645.4;59;{'swedish', 'progressive', 'metal', 'death', 'alternative'}
opeth;2;2025;12/02/2025 19:00;116;Norway;Oslo;(59.92, 10.75);1604.5;59;{'swedish', 'progressive', 'metal', 'death', 'alternative'}
opeth;2;2025;14/02/2025 19:00;118;Denmark;København S;(55.66, 12.59);1151.3;59;{'swedish', 'progressive', 'metal', 'death', 'alternative'}
opeth;2;2025;15/02/2025 19:00;119;Germany;Hamburg;(53.55, 9.96);893.5;59;{'swedish', 'progressive', 'metal', 'death', 'alternative'}
opeth;2;2025;17/02/2025 19:00;121;Germany;Köln;(50.97, 7.02);626.7;59;{'swedish', 'progressive', 'metal', 'death', 'alternative'}
opeth;2;2025;18/02/2025 19:00;122;Germany;Berlin;(52.5, 13.38);832.1;59;{'swedish', 'progressive', 'metal', 'death', 'alternative'}
opeth;2;2025;19/02/2025 19:00;123;Germany;München;(48.13, 11.59);340.5;59;{'swedish', 'progressive', 'metal', 'death', 'alternative'}
opeth;2;2025;21/02/2025 19:00;125;France;Paris;(48.87, 2.33);640.9;59;{'swedish', 'progressive', 'metal', 'death', 'alternative'}
opeth;2;2025;22/02/2025 19:00;126;Netherlands;Amsterdam;(52.31, 4.94);816.6;59;{'swedish', 'progressive', 'metal', 'death', 'alternative'}
opeth;2;2025;23/02/2025 19:00;127;Belgium;Bruxelles;(50.85, 4.35);693.6;59;{'swedish', 'progressive', 'metal', 'death', 'alternative'}
opeth;2;2025;25/02/2025 19:00;129;United Kingdom;Bristol;(51.45, -2.6);1092.3;59;{'swedish', 'progressive', 'metal', 'death', 'alternative'}
opeth;2;2025;26/02/2025 19:00;130;United Kingdom;London;(51.54, -0.15);961.1;59;{'swedish', 'progressive', 'metal', 'death', 'alternative'}
opeth;2;2025;28/02/2025 19:00;132;United Kingdom;Birmingham;(52.48, -1.91);1120.9;59;{'swedish', 'progressive', 'metal', 'death', 'alternative'}
opeth;3;2025;01/03/2025 19:00;133;United Kingdom;Manchester;(53.48, -2.25);1210.8;59;{'swedish', 'progressive', 'metal', 'death', 'alternative'}
opeth;3;2025;02/03/2025 19:00;134;United Kingdom;Glasgow;(55.86, -4.24);1486.7;59;{'swedish', 'progressive', 'metal', 'death', 'alternative'}
