Name;Country;Genre;Status;URL
L'Espera;Spain;Heavy Metal;Split-up;https://www.metal-archives.com/bands/L%27Espera/3540262118
L'Esprit du Clan;France;"Hardcore (early); Metalcore (later)";Active;https://www.metal-archives.com/bands/L%27Esprit_du_Clan/109732
L'Estard;Germany;Death Metal;Active;https://www.metal-archives.com/bands/L%27Estard/46050
L'Estertor;Paraguay;Death Metal;Active;https://www.metal-archives.com/bands/L%27Estertor/3540277162
L'Evoluzione;Japan;Technical Progressive Metal;Split-up;https://www.metal-archives.com/bands/L%27Evoluzione/38805
L'Habit Me Suce le Moine;Canada;Grindcore/Death Metal/Crust Punk;Unknown;https://www.metal-archives.com/bands/L%27Habit_Me_Suce_le_Moine/3540534696
L'Hiver;Greece;Atmospheric Doom/Black Metal;Split-up;https://www.metal-archives.com/bands/L%27Hiver/3540383754
L'Hiver;Spain;Depressive Black Metal/Punk;Active;https://www.metal-archives.com/bands/L%27Hiver/3540467029
L'Hiver en Deuil;Belgium;Black Metal;Active;https://www.metal-archives.com/bands/L%27Hiver_en_Deuil/3540370326
L'Homme Absurde;Russia;Post-Black Metal/Post-Rock;Active;https://www.metal-archives.com/bands/L%27Homme_Absurde/3540409493
L'Horreur d'Exister;Canada;Black Metal;Active;https://www.metal-archives.com/bands/L%27Horreur_d%27Exister/3540546007
L'Impero delle Ombre;Italy;Doom Metal;Split-up;https://www.metal-archives.com/bands/L%27Impero_delle_Ombre/33484
L'Incendio;Italy;Atmospheric/Technical Death Metal;Active;https://www.metal-archives.com/bands/L%27Incendio/3540422321
L'Infinito Abisso dell'Anima;Italy;Depressive Black Metal;Active;https://www.metal-archives.com/bands/L%27Infinito_Abisso_dell%27Anima/3540479007
L'Ira del Baccano;Italy;Psychedelic Doom Metal/Space Rock;Active;https://www.metal-archives.com/bands/L%27Ira_del_Baccano/3540258814
L'Occ dàl Corùv;Italy;Black Metal;Active;https://www.metal-archives.com/bands/L%27Occ_d%C3%A0l_Cor%C3%B9v/3540454195
L'Oeuvre au Noir;France;Black Metal/Dark Ambient;Active;https://www.metal-archives.com/bands/L%27Oeuvre_au_Noir/3540544297
L'Ombre du Saccage;France;Black Metal;Changed name;https://www.metal-archives.com/bands/L%27Ombre_du_Saccage/24087
L'Ombrello Nero del Prete;Italy;Heavy/Doom Metal;Split-up;https://www.metal-archives.com/bands/L%27Ombrello_Nero_del_Prete/3540321532
L'Opéra Funèbre;France;Black Metal;Split-up;https://www.metal-archives.com/bands/L%27Op%C3%A9ra_Fun%C3%A8bre/3540442641
L'Ordadunto;Italy;Thrash Metal/Crossover;Active;https://www.metal-archives.com/bands/L%27Ordadunto/44695
L'Ordre du Temple;Italy;Folk/Black Metal;Active;https://www.metal-archives.com/bands/L%27Ordre_du_Temple/26948
L'Òstia del Segle;Spain;Heavy/Thrash Metal;Active;https://www.metal-archives.com/bands/L%27%C3%92stia_del_Segle/3540426024
L'Ultima Alba;Italy;Black Metal;Unknown;https://www.metal-archives.com/bands/L%27Ultima_Alba/3540348001
L6B6T6MY;Argentina;Death Metal;Split-up;https://www.metal-archives.com/bands/L6B6T6MY/43029
La Armada;Dominican Republic;Hardcore Punk, Crossover/Thrash Metal;Active;https://www.metal-archives.com/bands/La_Armada/3540413367
La Bad Taste;Germany;Grindcore/Crust/Death Metal;Active;https://www.metal-archives.com/bands/La_Bad_Taste/3540325505
La Ballade des Rats;France;Black Metal;Active;https://www.metal-archives.com/bands/La_Ballade_des_Rats/3540389069
La Banda de Atila;Spain;Heavy Metal;Split-up;https://www.metal-archives.com/bands/La_Banda_de_Atila/3540496317
La Banda de l'Agonia;Spain;Hard Rock/Heavy Metal;Active;https://www.metal-archives.com/bands/La_Banda_de_l%27Agonia/3540473720
La Banda de Osiris;Argentina;Heavy Metal;Unknown;https://www.metal-archives.com/bands/La_Banda_de_Osiris/3540308290
La Begoñaverónica;Spain;Black Metal/Crust Punk;Active;https://www.metal-archives.com/bands/La_Bego%C3%B1aver%C3%B3nica/3540493534
La Belle Damned;United Kingdom;Symphonic Metal;Unknown;https://www.metal-archives.com/bands/La_Belle_Damned/3540528255
La Bestia del Trueno;Ecuador;Speed Metal;Active;https://www.metal-archives.com/bands/La_Bestia_del_Trueno/3540518629
