id;name;genres;followers;popularity;specific_genre
00Uv0804nrBM2RxUBTkyHj;wobbler;['c64', 'italian progressive rock', 'neo-progressive', 'norwegian prog', 'progressive rock'];18640;18;{'progressive', 'italian', 'neo-progressive', 'prog', 'norwegian', 'rock', 'c64'}
02fDf7HEPtBZLtPzCyxSR2;lanark artefax;['deconstructed club', 'fluxwork', 'mandible', 'scottish electronic', 'uk experimental electronic'];17506;21;{'club', 'scottish', 'fluxwork', 'mandible', 'electronic', 'experimental', 'uk', 'deconstructed'}
058thnz6odaxoAN4n3cMBN;verdena;['bergamo indie', 'italian alternative'];146604;43;{'bergamo', 'indie', 'italian', 'alternative'}
05MlomiA9La0OiNIAGqECk;delta sleep;['brighton indie', 'british math rock', 'math pop', 'math rock'];94217;48;{'math', 'british', 'brighton', 'indie', 'rock', 'pop'}
05tfXy5v0DpYvuy4Sot4Nu;whourkr;['breakcore', 'cybergrind'];10583;14;{'breakcore', 'cybergrind'}
07UJz804RJxqNvxFXC3h9H;sam gellaitry;['future bass', 'scottish electronic', 'vapor twitch'];148628;54;{'bass', 'scottish', 'vapor', 'electronic', 'twitch', 'future'}
08hpJXZImSYgSb8kEbyXAA;reflux;[];2240;4;set()
0AZ3VR0YbFcS0Kgei7L2QF;russian circles;['american post-rock', 'instrumental post-rock', 'instrumental rock', 'post-metal', 'post-rock', 'sludge metal'];258536;46;{'sludge', 'post-rock', 'metal', 'american', 'instrumental', 'rock', 'post-metal'}
0AhnRzNnHI2Yhx9d00H5Cp;rendezvous point;['djent', 'progressive metal', 'sci-fi metal'];17927;28;{'sci-fi', 'djent', 'progressive', 'metal'}
0CfjW2VuMdrhWodHtG7DWi;envy;['japanese emo', 'japanese post-hardcore', 'japanese post-rock', 'japanese screamo', 'post-rock'];51031;35;{'emo', 'post-rock', 'screamo', 'post-hardcore', 'japanese'}
0D3h8NZqNp7BN97JwtV6eW;tigran hamasyan;['armenian folk', 'contemporary jazz', 'jazz piano', 'modern jazz piano'];169911;45;{'piano', 'jazz', 'folk', 'armenian', 'contemporary', 'modern'}
0EDuC6lJh1F3Z9I7h62nFe;andrea cotroneo;[];224;2;set()
0FRKTwQSToXpCxYMhyUzYY;have a nice life;['blackgaze', 'doomgaze', 'dream pop', 'nu gaze'];418351;55;{'nu', 'blackgaze', 'dream', 'doomgaze', 'gaze', 'pop'}
0GDGKpJFhVpcjIGF8N6Ewt;gojira;['alternative metal', 'french death metal', 'french metal', 'groove metal', 'metal', 'nu metal', 'progressive groove metal'];1534689;67;{'nu', 'groove', 'death', 'alternative', 'metal', 'progressive', 'french'}
0H9VJTe5YIHfLKqor9C5Ln;mark applebaum;['tzadik'];859;1;{'tzadik'}
0HJQZHbKgYyWCDc8uVko6S;rosetta;['atmospheric post-metal', 'drone metal', 'philly indie', 'post-metal', 'sci-fi metal', 'sludge metal'];37768;24;{'atmospheric', 'sludge', 'metal', 'drone', 'philly', 'sci-fi', 'indie', 'post-metal'}
0Ivm3PYwfVFeq2trxYqLi2;*shels;['atmospheric post-metal', 'instrumental post-rock', 'post-metal', 'post-rock'];24647;25;{'atmospheric', 'instrumental', 'post-rock', 'post-metal'}
0LGX3mkYo7ckQz4JyZrifu;jardín de la croix;['spanish indie rock', 'spanish metal', 'spanish post-rock', 'spanish progressive rock'];7449;9;{'spanish', 'progressive', 'post-rock', 'metal', 'indie', 'rock'}
0MG4LXIw7n4x0wjDc6WYXk;this will destroy you;['ambient post-rock', 'american post-rock', 'doomgaze', 'drone metal', 'instrumental post-rock', 'post-rock'];247269;44;{'doomgaze', 'post-rock', 'metal', 'drone', 'american', 'instrumental', 'ambient'}
0QBQgTnTS6JORFHr7k0KRJ;gomma;['italian alternative', 'italian emo', 'italian indie pop'];22509;27;{'emo', 'italian', 'alternative', 'indie', 'pop'}
0WPY9nnBy01s5QOt4o4oQX;ride;['alternative rock', 'britpop', 'dream pop', 'oxford indie', 'shoegaze'];239983;46;{'britpop', 'alternative', 'dream', 'shoegaze', 'oxford', 'indie', 'rock', 'pop'}
0YHxyyD4PHmFZipMtvH5K5;mark hartsuch;[];337;7;set()
0YbvZPP1HufDyWIsR0ei6K;skyharbor;['djent', 'indian metal'];62695;30;{'djent', 'metal', 'indian'}
0Z5FMozvx15nUSUA6a9kkU;the comet is coming;['british jazz', 'chamber psych'];173618;37;{'chamber', 'british', 'psych', 'jazz'}
0c0xIXQhCbmtvzM93liaSf;blut aus nord;['atmospheric black metal', 'avant-garde black metal', 'black metal', 'blackgaze', 'cosmic black metal', 'drone metal', 'french black metal', 'french metal', 'post-metal', 'voidgaze'];75903;32;{'atmospheric', 'cosmic', 'black', 'metal', 'avant-garde', 'post-metal', 'drone', 'blackgaze', 'voidgaze', 'french'}
0d5ZwMtCer8dQdOPAgWhe7;alcest;['atmospheric black metal', 'blackgaze', 'emotional black metal', 'french black metal', 'french metal', 'french shoegaze', 'post-black metal', 'post-metal', 'shoegaze'];296848;48;{'atmospheric', 'black', 'metal', 'emotional', 'post-metal', 'shoegaze', 'blackgaze', 'post-black', 'french'}
0dPLWmQMIFZaCs8GCIZ1Zr;casa del mirto;['chillwave'];10703;18;{'chillwave'}
0jNDKefhfSbLR9sFvcPLHo;san holo;['brostep', 'edm', 'electro house', 'electronic trap', 'future bass', 'pop dance'];696129;57;{'bass', 'edm', 'brostep', 'electronic', 'electro', 'house', 'future', 'trap', 'dance', 'pop'}
0pSx3asj3usz5PRt8COo0E;ketama126;['drill italiana', 'emo rap italiano', 'italian hip hop', 'trap italiana'];318180;56;{'italiana', 'emo', 'drill', 'italian', 'italiano', 'rap', 'hop', 'trap', 'hip'}
0qu422H5MOoQxGjd4IzHbS;yves tumor;['art pop', 'escape room', 'experimental pop', 'experimental r&b', 'hypnagogic pop'];399571;57;{'art', 'room', 'hypnagogic', 'experimental', 'escape', 'r&b', 'pop'}
0rpKM0MniNkXM1SLSglYUZ;toe;['instrumental math rock', 'instrumental post-rock', 'japanese math rock', 'japanese post-rock', 'math rock', 'midwest emo'];308195;50;{'midwest', 'emo', 'post-rock', 'math', 'japanese', 'instrumental', 'rock'}
0xpJGyjbEzkWSNfcf2tcMl;intervals;['djent', 'instrumental djent', 'instrumental rock'];208155;49;{'instrumental', 'djent', 'rock'}
0ybFZ2Ab08V8hueghSXm6E;opeth;['alternative metal', 'metal', 'progressive death metal', 'progressive metal', 'swedish metal', 'swedish progressive metal'];986455;59;{'swedish', 'death', 'alternative', 'metal', 'progressive'}
0yytxwS39QiLpI9GM7cOuL;il teatro degli orrori;['indie veneto', 'italian alternative', 'jazzcore'];57738;33;{'veneto', 'italian', 'alternative', 'jazzcore', 'indie'}
0z4ODfFM8PGE0A9r0tZ75J;vildhjarta;['djent', 'instrumental djent', 'thall'];123029;40;{'instrumental', 'thall', 'djent'}
0zZRbZrBprUwWRKnbaIEXq;øjne;['italian emo', 'italian post-hardcore', 'italian screamo', 'skramz'];11675;22;{'emo', 'italian', 'screamo', 'post-hardcore', 'skramz'}
13ubrt8QOOCPljQ2FL1Kca;a$ap rocky;['east coast hip hop', 'hip hop', 'rap'];15104368;86;{'coast', 'east', 'rap', 'hop', 'hip'}
14u4KXVp0iXQil79EpxXGc;the algorithm;['cyberpunk', 'djent', 'electronic djent', 'future rock', 'instrumental djent', 'instrumental rock'];100934;35;{'djent', 'electronic', 'cyberpunk', 'future', 'instrumental', 'rock'}
150xbiJGnTy1tSBZ9EFKnT;1349;['black metal', 'death metal', 'norwegian black metal', 'norwegian metal', 'technical black metal'];137825;38;{'death', 'black', 'metal', 'norwegian', 'technical'}
15UsOTVnJzReFVN1VCnxy4;xxxtentacion;['emo rap', 'miami hip hop', 'rap'];47067099;89;{'miami', 'emo', 'rap', 'hop', 'hip'}
16Uqo1jjtPiKI4zU1Ficgb;scale the summit;['djent', 'instrumental math rock', 'instrumental progressive metal', 'instrumental rock', 'progressive jazz fusion'];102895;31;{'djent', 'rock', 'math', 'metal', 'jazz', 'fusion', 'instrumental', 'progressive'}
17qfMEjKb5ry8L8mekQZfd;intronaut;['djent', 'jazz metal', 'post-metal', 'sludge metal'];66724;27;{'djent', 'sludge', 'metal', 'jazz', 'post-metal'}
183vQCgpuNJHxdDCYIpkA4;crash of rhinos;['derby indie', 'midwest emo'];8575;16;{'emo', 'derby', 'midwest', 'indie'}
18TNVFTJ6WfeicsMRrdJHI;metz;['canadian punk', 'crank wave', 'indie punk', 'noise pop', 'noise rock', 'post-hardcore'];84329;35;{'canadian', 'wave', 'rock', 'noise', 'post-hardcore', 'punk', 'indie', 'crank', 'pop'}
19f2JXwlRU26376TCKmp6L;gogo penguin;['british jazz', 'contemporary jazz', 'indie jazz', 'jazztronica', 'modern jazz trio', 'progressive jazz fusion'];246934;46;{'progressive', 'jazz', 'jazztronica', 'british', 'fusion', 'contemporary', 'indie', 'modern', 'trio'}
1AKQ12On2ydAN0jykcB929;aquilus;['atmospheric black metal', 'australian black metal', 'autonomous black metal', 'folk black metal', 'voidgaze'];14835;20;{'atmospheric', 'autonomous', 'black', 'australian', 'metal', 'folk', 'voidgaze'}
1DGpHnPOpMYY780hcQHmPB;hiroshi yoshimura;['ambient', 'fourth world', 'j-ambient'];115825;42;{'world', 'ambient', 'fourth', 'j-ambient'}
1Dvfqq39HxvCJ3GvfeIFuT;mastodon;['alternative metal', 'atlanta metal', 'metal', 'progressive groove metal', 'progressive sludge', 'sludge metal', 'stoner metal', 'stoner rock'];942206;61;{'sludge', 'groove', 'alternative', 'metal', 'rock', 'atlanta', 'stoner', 'progressive'}
1JSPpoXFLcEG2WhYlvmHPJ;yosi horikawa;['abstract beats', 'japanese experimental', 'japanese idm'];57336;34;{'beats', 'experimental', 'abstract', 'japanese', 'idm'}
1JsBuuKCnA43vrlM1X4cKN;monika roscher bigband;['munich indie'];19667;27;{'munich', 'indie'}
1KHydwFySZY3YcWyo2q2dF;neurosis;['atmospheric post-metal', 'atmospheric sludge', 'doom metal', 'drone metal', 'post-doom metal', 'post-metal', 'progressive sludge', 'sludge metal'];143173;34;{'atmospheric', 'sludge', 'post-doom', 'metal', 'drone', 'doom', 'progressive', 'post-metal'}
1MD5pgVzlusqGyuSTcTxvu;premiata forneria marconi;['italian progressive rock', 'progressive rock'];120573;37;{'italian', 'progressive', 'rock'}
1PvIhDSob4VErWq8ssWdmA;la psicosi di ottobre;[];26;9;set()
1UiZqQoNAT4bs0uCK3biS9;ornaments;[];622;4;set()
1V4jsLjkic1Mxvdke86Qth;the aristocrats;['instrumental rock', 'progressive jazz fusion', 'progressive metal', 'traditional funk'];120477;36;{'traditional', 'rock', 'jazz', 'metal', 'fusion', 'funk', 'instrumental', 'progressive'}
1binm59tmJzoZLvLETVYBP;jesu;['birmingham metal', 'british experimental', 'doomgaze', 'drone', 'drone metal', 'dub metal', 'post-metal', 'shoegaze', 'uk doom metal', 'uk post-metal'];62696;29;{'birmingham', 'metal', 'experimental', 'shoegaze', 'uk', 'british', 'drone', 'dub', 'doomgaze', 'doom', 'post-metal'}
1cbBzQxiKcZCsit68iTbTJ;lantlôs;['atmospheric black metal', 'blackgaze', 'doomgaze', 'emotional black metal', 'german black metal', 'post-metal'];56800;31;{'atmospheric', 'doomgaze', 'german', 'black', 'metal', 'emotional', 'blackgaze', 'post-metal'}
1hTlyo5QWVHUA3xUGgXqa5;proem;['abstract', 'ambient idm', 'deep idm', 'drill and bass', 'glitch', 'intelligent dance music'];13319;21;{'bass', 'intelligent', 'drill', 'music', 'and', 'ambient', 'glitch', 'abstract', 'dance', 'deep', 'idm'}
1iqXhsjGeWi2Gje5q0mFYb;xxyyxx;['chillwave', 'wonky'];255429;39;{'chillwave', 'wonky'}
1j8QyWpOJKAe6Iw2KvEg2j;audiotree;[];17507;58;set()
1kYsYRtVq1Po3luPqeAnm2;exivious;['djent', 'instrumental death metal', 'instrumental rock', 'jazz metal', 'progressive jazz fusion'];14607;16;{'djent', 'progressive', 'death', 'metal', 'jazz', 'fusion', 'instrumental', 'rock'}
1nw8iwDkSSHqn8S343ODcp;chassol;[];51700;36;set()
1oR9pQhucVTJyi5lH2Y2iT;blank banshee;['future funk', 'vaportrap', 'vaporwave'];114571;38;{'vaportrap', 'funk', 'future', 'vaporwave'}
1uRpg2s2jNaxbmoNiJDGfd;pain of salvation;['prog metal', 'progressive metal', 'swedish progressive metal'];137911;41;{'prog', 'swedish', 'progressive', 'metal'}
1uvnDqn7UvVy6orSq1E2YF;sungazer;['livetronica', 'progressive jazz fusion'];96171;44;{'livetronica', 'fusion', 'progressive', 'jazz'}
1zrqDVuh55auIRthalFdXp;alva noto;['abstract idm', 'drone', 'glitch', 'glitch ambient', 'intelligent dance music'];92127;40;{'intelligent', 'abstract', 'music', 'glitch', 'drone', 'dance', 'ambient', 'idm'}
22IXRMQ8P6neRNh7ExqRPy;folie à deux;[];29;0;set()
232kF3LKFnCswMv7tZSf5H;zeus;[];1558;14;set()
29PgYwTelpNl6370XLqFtN;cryptopsy;['black metal', 'brutal death metal', 'canadian metal', 'death metal', 'quebec death metal', 'technical death metal', 'technical deathcore', 'technical melodic death metal', 'thrash metal'];167084;41;{'canadian', 'brutal', 'death', 'black', 'metal', 'quebec', 'deathcore', 'technical', 'thrash', 'melodic'}
29XOeO6KIWxGthejQqn793;flying lotus;['afrofuturism', 'alternative hip hop', 'electronica', 'escape room', 'experimental hip hop', 'glitch', 'glitch hop', 'indietronica', 'instrumental hip hop', 'intelligent dance music', 'jazztronica', 'psychedelic hip hop', 'wonky'];791564;56;{'intelligent', 'wonky', 'room', 'music', 'alternative', 'dance', 'electronica', 'escape', 'experimental', 'glitch', 'hop', 'indietronica', 'afrofuturism', 'jazztronica', 'psychedelic', 'instrumental', 'hip'}
2CdN4XLh2BYpvvmqWZ5M6n;the chasing monster;['atmospheric post-rock', 'instrumental post-rock', 'italian post-rock'];3565;7;{'atmospheric', 'instrumental', 'italian', 'post-rock'}
2F9WG9ugzneeesOZfmQ18V;shubh saran;['indian jazz'];29788;32;{'jazz', 'indian'}
2Hkut4rAAyrQxRdof7FVJq;rush;['album rock', 'canadian metal', 'classic canadian rock', 'classic rock', 'hard rock', 'progressive rock', 'rock'];2373226;66;{'canadian', 'album', 'progressive', 'metal', 'classic', 'hard', 'rock'}
2IhojRjOLxPzx5Y7nKjwJg;zeus;['jazzcore'];765;3;{'jazzcore'}
2JC4hZm1egeJDEolLsMwZ9;between the buried and me;['djent', 'melodic metalcore', 'north carolina metal', 'progressive metal'];274829;45;{'djent', 'progressive', 'north', 'carolina', 'metal', 'metalcore', 'melodic'}
