id;name;genres;followers;popularity;specific_genre
00Uv0804nrBM2RxUBTkyHj;wobbler;['c64', 'italian progressive rock', 'neo-progressive', 'norwegian prog', 'progressive rock'];18640;18;{'rock', 'norwegian', 'neo-progressive', 'c64', 'italian', 'progressive', 'prog'}
02fDf7HEPtBZLtPzCyxSR2;lanark artefax;['deconstructed club', 'fluxwork', 'mandible', 'scottish electronic', 'uk experimental electronic'];17506;21;{'experimental', 'fluxwork', 'electronic', 'club', 'scottish', 'uk', 'deconstructed', 'mandible'}
058thnz6odaxoAN4n3cMBN;verdena;['bergamo indie', 'italian alternative'];146604;43;{'bergamo', 'italian', 'indie', 'alternative'}
05MlomiA9La0OiNIAGqECk;delta sleep;['brighton indie', 'british math rock', 'math pop', 'math rock'];94217;48;{'rock', 'math', 'indie', 'pop', 'brighton', 'british'}
05tfXy5v0DpYvuy4Sot4Nu;whourkr;['breakcore', 'cybergrind'];10583;14;{'breakcore', 'cybergrind'}
07UJz804RJxqNvxFXC3h9H;sam gellaitry;['future bass', 'scottish electronic', 'vapor twitch'];148628;54;{'electronic', 'vapor', 'twitch', 'bass', 'scottish', 'future'}
08hpJXZImSYgSb8kEbyXAA;reflux;[];2240;4;set()
0AZ3VR0YbFcS0Kgei7L2QF;russian circles;['american post-rock', 'instrumental post-rock', 'instrumental rock', 'post-metal', 'post-rock', 'sludge metal'];258536;46;{'sludge', 'rock', 'metal', 'post-rock', 'post-metal', 'american', 'instrumental'}
0AhnRzNnHI2Yhx9d00H5Cp;rendezvous point;['djent', 'progressive metal', 'sci-fi metal'];17927;28;{'metal', 'progressive', 'djent', 'sci-fi'}
0CfjW2VuMdrhWodHtG7DWi;envy;['japanese emo', 'japanese post-hardcore', 'japanese post-rock', 'japanese screamo', 'post-rock'];51031;35;{'screamo', 'post-hardcore', 'post-rock', 'emo', 'japanese'}
0D3h8NZqNp7BN97JwtV6eW;tigran hamasyan;['armenian folk', 'contemporary jazz', 'jazz piano', 'modern jazz piano'];169911;45;{'jazz', 'modern', 'folk', 'piano', 'armenian', 'contemporary'}
0EDuC6lJh1F3Z9I7h62nFe;andrea cotroneo;[];224;2;set()
0FRKTwQSToXpCxYMhyUzYY;have a nice life;['blackgaze', 'doomgaze', 'dream pop', 'nu gaze'];418351;55;{'doomgaze', 'blackgaze', 'nu', 'pop', 'dream', 'gaze'}
0GDGKpJFhVpcjIGF8N6Ewt;gojira;['alternative metal', 'french death metal', 'french metal', 'groove metal', 'metal', 'nu metal', 'progressive groove metal'];1534689;67;{'groove', 'metal', 'nu', 'french', 'progressive', 'death', 'alternative'}
0H9VJTe5YIHfLKqor9C5Ln;mark applebaum;['tzadik'];859;1;{'tzadik'}
0HJQZHbKgYyWCDc8uVko6S;rosetta;['atmospheric post-metal', 'drone metal', 'philly indie', 'post-metal', 'sci-fi metal', 'sludge metal'];37768;24;{'sludge', 'metal', 'philly', 'indie', 'drone', 'post-metal', 'atmospheric', 'sci-fi'}
0Ivm3PYwfVFeq2trxYqLi2;*shels;['atmospheric post-metal', 'instrumental post-rock', 'post-metal', 'post-rock'];24647;25;{'post-rock', 'post-metal', 'atmospheric', 'instrumental'}
0LGX3mkYo7ckQz4JyZrifu;jardín de la croix;['spanish indie rock', 'spanish metal', 'spanish post-rock', 'spanish progressive rock'];7449;9;{'rock', 'metal', 'post-rock', 'indie', 'progressive', 'spanish'}
0MG4LXIw7n4x0wjDc6WYXk;this will destroy you;['ambient post-rock', 'american post-rock', 'doomgaze', 'drone metal', 'instrumental post-rock', 'post-rock'];247269;44;{'doomgaze', 'ambient', 'metal', 'post-rock', 'drone', 'american', 'instrumental'}
0QBQgTnTS6JORFHr7k0KRJ;gomma;['italian alternative', 'italian emo', 'italian indie pop'];22509;27;{'italian', 'indie', 'pop', 'emo', 'alternative'}
0WPY9nnBy01s5QOt4o4oQX;ride;['alternative rock', 'britpop', 'dream pop', 'oxford indie', 'shoegaze'];239983;46;{'rock', 'britpop', 'indie', 'shoegaze', 'pop', 'dream', 'oxford', 'alternative'}
0YHxyyD4PHmFZipMtvH5K5;mark hartsuch;[];337;7;set()
0YbvZPP1HufDyWIsR0ei6K;skyharbor;['djent', 'indian metal'];62695;30;{'metal', 'indian', 'djent'}
0Z5FMozvx15nUSUA6a9kkU;the comet is coming;['british jazz', 'chamber psych'];173618;37;{'british', 'chamber', 'jazz', 'psych'}
0c0xIXQhCbmtvzM93liaSf;blut aus nord;['atmospheric black metal', 'avant-garde black metal', 'black metal', 'blackgaze', 'cosmic black metal', 'drone metal', 'french black metal', 'french metal', 'post-metal', 'voidgaze'];75903;32;{'metal', 'blackgaze', 'french', 'black', 'drone', 'post-metal', 'avant-garde', 'atmospheric', 'cosmic', 'voidgaze'}
0d5ZwMtCer8dQdOPAgWhe7;alcest;['atmospheric black metal', 'blackgaze', 'emotional black metal', 'french black metal', 'french metal', 'french shoegaze', 'post-black metal', 'post-metal', 'shoegaze'];296848;48;{'metal', 'blackgaze', 'shoegaze', 'french', 'black', 'post-black', 'post-metal', 'atmospheric', 'emotional'}
0dPLWmQMIFZaCs8GCIZ1Zr;casa del mirto;['chillwave'];10703;18;{'chillwave'}
0jNDKefhfSbLR9sFvcPLHo;san holo;['brostep', 'edm', 'electro house', 'electronic trap', 'future bass', 'pop dance'];696129;57;{'electronic', 'dance', 'trap', 'pop', 'electro', 'future', 'bass', 'brostep', 'house', 'edm'}
0pSx3asj3usz5PRt8COo0E;ketama126;['drill italiana', 'emo rap italiano', 'italian hip hop', 'trap italiana'];318180;56;{'italiano', 'italiana', 'rap', 'italian', 'hip', 'emo', 'drill', 'hop', 'trap'}
0qu422H5MOoQxGjd4IzHbS;yves tumor;['art pop', 'escape room', 'experimental pop', 'experimental r&b', 'hypnagogic pop'];399571;57;{'experimental', 'room', 'art', 'escape', 'pop', 'r&b', 'hypnagogic'}
0rpKM0MniNkXM1SLSglYUZ;toe;['instrumental math rock', 'instrumental post-rock', 'japanese math rock', 'japanese post-rock', 'math rock', 'midwest emo'];308195;50;{'rock', 'midwest', 'math', 'post-rock', 'emo', 'japanese', 'instrumental'}
0xpJGyjbEzkWSNfcf2tcMl;intervals;['djent', 'instrumental djent', 'instrumental rock'];208155;49;{'rock', 'djent', 'instrumental'}
0ybFZ2Ab08V8hueghSXm6E;opeth;['alternative metal', 'metal', 'progressive death metal', 'progressive metal', 'swedish metal', 'swedish progressive metal'];986455;59;{'metal', 'swedish', 'progressive', 'death', 'alternative'}
0yytxwS39QiLpI9GM7cOuL;il teatro degli orrori;['indie veneto', 'italian alternative', 'jazzcore'];57738;33;{'italian', 'indie', 'jazzcore', 'veneto', 'alternative'}
0z4ODfFM8PGE0A9r0tZ75J;vildhjarta;['djent', 'instrumental djent', 'thall'];123029;40;{'thall', 'djent', 'instrumental'}
0zZRbZrBprUwWRKnbaIEXq;øjne;['italian emo', 'italian post-hardcore', 'italian screamo', 'skramz'];11675;22;{'screamo', 'post-hardcore', 'italian', 'skramz', 'emo'}
13ubrt8QOOCPljQ2FL1Kca;a$ap rocky;['east coast hip hop', 'hip hop', 'rap'];15104368;86;{'rap', 'coast', 'east', 'hip', 'hop'}
14u4KXVp0iXQil79EpxXGc;the algorithm;['cyberpunk', 'djent', 'electronic djent', 'future rock', 'instrumental djent', 'instrumental rock'];100934;35;{'rock', 'cyberpunk', 'electronic', 'djent', 'future', 'instrumental'}
150xbiJGnTy1tSBZ9EFKnT;1349;['black metal', 'death metal', 'norwegian black metal', 'norwegian metal', 'technical black metal'];137825;38;{'technical', 'norwegian', 'metal', 'black', 'death'}
15UsOTVnJzReFVN1VCnxy4;xxxtentacion;['emo rap', 'miami hip hop', 'rap'];47067099;89;{'rap', 'miami', 'hip', 'emo', 'hop'}
16Uqo1jjtPiKI4zU1Ficgb;scale the summit;['djent', 'instrumental math rock', 'instrumental progressive metal', 'instrumental rock', 'progressive jazz fusion'];102895;31;{'rock', 'jazz', 'math', 'metal', 'djent', 'progressive', 'fusion', 'instrumental'}
17qfMEjKb5ry8L8mekQZfd;intronaut;['djent', 'jazz metal', 'post-metal', 'sludge metal'];66724;27;{'sludge', 'jazz', 'metal', 'djent', 'post-metal'}
183vQCgpuNJHxdDCYIpkA4;crash of rhinos;['derby indie', 'midwest emo'];8575;16;{'midwest', 'emo', 'indie', 'derby'}
18TNVFTJ6WfeicsMRrdJHI;metz;['canadian punk', 'crank wave', 'indie punk', 'noise pop', 'noise rock', 'post-hardcore'];84329;35;{'rock', 'post-hardcore', 'indie', 'noise', 'pop', 'punk', 'canadian', 'crank', 'wave'}
19f2JXwlRU26376TCKmp6L;gogo penguin;['british jazz', 'contemporary jazz', 'indie jazz', 'jazztronica', 'modern jazz trio', 'progressive jazz fusion'];246934;46;{'jazz', 'modern', 'indie', 'progressive', 'jazztronica', 'trio', 'contemporary', 'british', 'fusion'}
1AKQ12On2ydAN0jykcB929;aquilus;['atmospheric black metal', 'australian black metal', 'autonomous black metal', 'folk black metal', 'voidgaze'];14835;20;{'autonomous', 'metal', 'folk', 'black', 'voidgaze', 'atmospheric', 'australian'}
