id;name;genres;followers;popularity;specific_genre
00Uv0804nrBM2RxUBTkyHj;wobbler;['c64', 'italian progressive rock', 'neo-progressive', 'norwegian prog', 'progressive rock'];18640;18;{'progressive', 'rock', 'neo-progressive', 'italian', 'c64', 'norwegian', 'prog'}
02fDf7HEPtBZLtPzCyxSR2;lanark artefax;['deconstructed club', 'fluxwork', 'mandible', 'scottish electronic', 'uk experimental electronic'];17506;21;{'scottish', 'deconstructed', 'mandible', 'experimental', 'electronic', 'club', 'uk', 'fluxwork'}
058thnz6odaxoAN4n3cMBN;verdena;['bergamo indie', 'italian alternative'];146604;43;{'alternative', 'bergamo', 'italian', 'indie'}
05MlomiA9La0OiNIAGqECk;delta sleep;['brighton indie', 'british math rock', 'math pop', 'math rock'];94217;48;{'pop', 'rock', 'brighton', 'math', 'british', 'indie'}
05tfXy5v0DpYvuy4Sot4Nu;whourkr;['breakcore', 'cybergrind'];10583;14;{'cybergrind', 'breakcore'}
07UJz804RJxqNvxFXC3h9H;sam gellaitry;['future bass', 'scottish electronic', 'vapor twitch'];148628;54;{'scottish', 'bass', 'future', 'electronic', 'vapor', 'twitch'}
08hpJXZImSYgSb8kEbyXAA;reflux;[];2240;4;set()
0AZ3VR0YbFcS0Kgei7L2QF;russian circles;['american post-rock', 'instrumental post-rock', 'instrumental rock', 'post-metal', 'post-rock', 'sludge metal'];258536;46;{'rock', 'american', 'post-metal', 'sludge', 'metal', 'post-rock', 'instrumental'}
0AhnRzNnHI2Yhx9d00H5Cp;rendezvous point;['djent', 'progressive metal', 'sci-fi metal'];17927;28;{'sci-fi', 'progressive', 'djent', 'metal'}
0CfjW2VuMdrhWodHtG7DWi;envy;['japanese emo', 'japanese post-hardcore', 'japanese post-rock', 'japanese screamo', 'post-rock'];51031;35;{'japanese', 'post-hardcore', 'emo', 'screamo', 'post-rock'}
0D3h8NZqNp7BN97JwtV6eW;tigran hamasyan;['armenian folk', 'contemporary jazz', 'jazz piano', 'modern jazz piano'];169911;45;{'folk', 'modern', 'piano', 'armenian', 'jazz', 'contemporary'}
0EDuC6lJh1F3Z9I7h62nFe;andrea cotroneo;[];224;2;set()
0FRKTwQSToXpCxYMhyUzYY;have a nice life;['blackgaze', 'doomgaze', 'dream pop', 'nu gaze'];418351;55;{'pop', 'nu', 'doomgaze', 'dream', 'blackgaze', 'gaze'}
0GDGKpJFhVpcjIGF8N6Ewt;gojira;['alternative metal', 'french death metal', 'french metal', 'groove metal', 'metal', 'nu metal', 'progressive groove metal'];1534689;67;{'alternative', 'progressive', 'nu', 'groove', 'french', 'death', 'metal'}
0H9VJTe5YIHfLKqor9C5Ln;mark applebaum;['tzadik'];859;1;{'tzadik'}
0HJQZHbKgYyWCDc8uVko6S;rosetta;['atmospheric post-metal', 'drone metal', 'philly indie', 'post-metal', 'sci-fi metal', 'sludge metal'];37768;24;{'sci-fi', 'philly', 'drone', 'post-metal', 'indie', 'sludge', 'atmospheric', 'metal'}
0Ivm3PYwfVFeq2trxYqLi2;*shels;['atmospheric post-metal', 'instrumental post-rock', 'post-metal', 'post-rock'];24647;25;{'atmospheric', 'post-rock', 'instrumental', 'post-metal'}
0LGX3mkYo7ckQz4JyZrifu;jardín de la croix;['spanish indie rock', 'spanish metal', 'spanish post-rock', 'spanish progressive rock'];7449;9;{'rock', 'progressive', 'spanish', 'indie', 'metal', 'post-rock'}
0MG4LXIw7n4x0wjDc6WYXk;this will destroy you;['ambient post-rock', 'american post-rock', 'doomgaze', 'drone metal', 'instrumental post-rock', 'post-rock'];247269;44;{'american', 'drone', 'doomgaze', 'ambient', 'metal', 'post-rock', 'instrumental'}
0QBQgTnTS6JORFHr7k0KRJ;gomma;['italian alternative', 'italian emo', 'italian indie pop'];22509;27;{'alternative', 'pop', 'italian', 'emo', 'indie'}
0WPY9nnBy01s5QOt4o4oQX;ride;['alternative rock', 'britpop', 'dream pop', 'oxford indie', 'shoegaze'];239983;46;{'alternative', 'pop', 'rock', 'shoegaze', 'britpop', 'dream', 'oxford', 'indie'}
0YHxyyD4PHmFZipMtvH5K5;mark hartsuch;[];337;7;set()
0YbvZPP1HufDyWIsR0ei6K;skyharbor;['djent', 'indian metal'];62695;30;{'metal', 'djent', 'indian'}
0Z5FMozvx15nUSUA6a9kkU;the comet is coming;['british jazz', 'chamber psych'];173618;37;{'british', 'jazz', 'chamber', 'psych'}
0c0xIXQhCbmtvzM93liaSf;blut aus nord;['atmospheric black metal', 'avant-garde black metal', 'black metal', 'blackgaze', 'cosmic black metal', 'drone metal', 'french black metal', 'french metal', 'post-metal', 'voidgaze'];75903;32;{'black', 'drone', 'post-metal', 'voidgaze', 'french', 'atmospheric', 'metal', 'blackgaze', 'cosmic', 'avant-garde'}
0d5ZwMtCer8dQdOPAgWhe7;alcest;['atmospheric black metal', 'blackgaze', 'emotional black metal', 'french black metal', 'french metal', 'french shoegaze', 'post-black metal', 'post-metal', 'shoegaze'];296848;48;{'shoegaze', 'black', 'post-black', 'post-metal', 'emotional', 'french', 'atmospheric', 'metal', 'blackgaze'}
0dPLWmQMIFZaCs8GCIZ1Zr;casa del mirto;['chillwave'];10703;18;{'chillwave'}
0jNDKefhfSbLR9sFvcPLHo;san holo;['brostep', 'edm', 'electro house', 'electronic trap', 'future bass', 'pop dance'];696129;57;{'pop', 'bass', 'electro', 'house', 'trap', 'future', 'electronic', 'dance', 'brostep', 'edm'}
0pSx3asj3usz5PRt8COo0E;ketama126;['drill italiana', 'emo rap italiano', 'italian hip hop', 'trap italiana'];318180;56;{'rap', 'italian', 'emo', 'trap', 'hop', 'drill', 'italiana', 'hip', 'italiano'}
0qu422H5MOoQxGjd4IzHbS;yves tumor;['art pop', 'escape room', 'experimental pop', 'experimental r&b', 'hypnagogic pop'];399571;57;{'pop', 'art', 'experimental', 'room', 'r&b', 'hypnagogic', 'escape'}
0rpKM0MniNkXM1SLSglYUZ;toe;['instrumental math rock', 'instrumental post-rock', 'japanese math rock', 'japanese post-rock', 'math rock', 'midwest emo'];308195;50;{'rock', 'japanese', 'emo', 'math', 'post-rock', 'midwest', 'instrumental'}
0xpJGyjbEzkWSNfcf2tcMl;intervals;['djent', 'instrumental djent', 'instrumental rock'];208155;49;{'rock', 'djent', 'instrumental'}
0ybFZ2Ab08V8hueghSXm6E;opeth;['alternative metal', 'metal', 'progressive death metal', 'progressive metal', 'swedish metal', 'swedish progressive metal'];986455;59;{'alternative', 'progressive', 'death', 'metal', 'swedish'}
0yytxwS39QiLpI9GM7cOuL;il teatro degli orrori;['indie veneto', 'italian alternative', 'jazzcore'];57738;33;{'alternative', 'italian', 'jazzcore', 'veneto', 'indie'}
0z4ODfFM8PGE0A9r0tZ75J;vildhjarta;['djent', 'instrumental djent', 'thall'];123029;40;{'djent', 'thall', 'instrumental'}
0zZRbZrBprUwWRKnbaIEXq;øjne;['italian emo', 'italian post-hardcore', 'italian screamo', 'skramz'];11675;22;{'post-hardcore', 'italian', 'emo', 'screamo', 'skramz'}
13ubrt8QOOCPljQ2FL1Kca;a$ap rocky;['east coast hip hop', 'hip hop', 'rap'];15104368;86;{'rap', 'hop', 'coast', 'hip', 'east'}
14u4KXVp0iXQil79EpxXGc;the algorithm;['cyberpunk', 'djent', 'electronic djent', 'future rock', 'instrumental djent', 'instrumental rock'];100934;35;{'instrumental', 'rock', 'future', 'electronic', 'djent', 'cyberpunk'}
150xbiJGnTy1tSBZ9EFKnT;1349;['black metal', 'death metal', 'norwegian black metal', 'norwegian metal', 'technical black metal'];137825;38;{'technical', 'black', 'norwegian', 'death', 'metal'}
15UsOTVnJzReFVN1VCnxy4;xxxtentacion;['emo rap', 'miami hip hop', 'rap'];47067099;89;{'rap', 'emo', 'hop', 'hip', 'miami'}
16Uqo1jjtPiKI4zU1Ficgb;scale the summit;['djent', 'instrumental math rock', 'instrumental progressive metal', 'instrumental rock', 'progressive jazz fusion'];102895;31;{'progressive', 'rock', 'math', 'djent', 'jazz', 'metal', 'instrumental', 'fusion'}
17qfMEjKb5ry8L8mekQZfd;intronaut;['djent', 'jazz metal', 'post-metal', 'sludge metal'];66724;27;{'post-metal', 'djent', 'jazz', 'sludge', 'metal'}
183vQCgpuNJHxdDCYIpkA4;crash of rhinos;['derby indie', 'midwest emo'];8575;16;{'midwest', 'emo', 'derby', 'indie'}
18TNVFTJ6WfeicsMRrdJHI;metz;['canadian punk', 'crank wave', 'indie punk', 'noise pop', 'noise rock', 'post-hardcore'];84329;35;{'pop', 'rock', 'canadian', 'noise', 'post-hardcore', 'wave', 'indie', 'punk', 'crank'}
19f2JXwlRU26376TCKmp6L;gogo penguin;['british jazz', 'contemporary jazz', 'indie jazz', 'jazztronica', 'modern jazz trio', 'progressive jazz fusion'];246934;46;{'modern', 'progressive', 'trio', 'jazztronica', 'british', 'jazz', 'indie', 'fusion', 'contemporary'}
1AKQ12On2ydAN0jykcB929;aquilus;['atmospheric black metal', 'australian black metal', 'autonomous black metal', 'folk black metal', 'voidgaze'];14835;20;{'folk', 'black', 'australian', 'voidgaze', 'autonomous', 'atmospheric', 'metal'}
1DGpHnPOpMYY780hcQHmPB;hiroshi yoshimura;['ambient', 'fourth world', 'j-ambient'];115825;42;{'fourth', 'ambient', 'j-ambient', 'world'}
1Dvfqq39HxvCJ3GvfeIFuT;mastodon;['alternative metal', 'atlanta metal', 'metal', 'progressive groove metal', 'progressive sludge', 'sludge metal', 'stoner metal', 'stoner rock'];942206;61;{'alternative', 'progressive', 'rock', 'stoner', 'groove', 'sludge', 'metal', 'atlanta'}
1JSPpoXFLcEG2WhYlvmHPJ;yosi horikawa;['abstract beats', 'japanese experimental', 'japanese idm'];57336;34;{'japanese', 'experimental', 'beats', 'abstract', 'idm'}
1JsBuuKCnA43vrlM1X4cKN;monika roscher bigband;['munich indie'];19667;27;{'indie', 'munich'}
1KHydwFySZY3YcWyo2q2dF;neurosis;['atmospheric post-metal', 'atmospheric sludge', 'doom metal', 'drone metal', 'post-doom metal', 'post-metal', 'progressive sludge', 'sludge metal'];143173;34;{'doom', 'progressive', 'post-doom', 'drone', 'post-metal', 'sludge', 'atmospheric', 'metal'}
1MD5pgVzlusqGyuSTcTxvu;premiata forneria marconi;['italian progressive rock', 'progressive rock'];120573;37;{'progressive', 'italian', 'rock'}
1PvIhDSob4VErWq8ssWdmA;la psicosi di ottobre;[];26;9;set()
1UiZqQoNAT4bs0uCK3biS9;ornaments;[];622;4;set()
