id;name;genres;followers;popularity;specific_genre
00Uv0804nrBM2RxUBTkyHj;wobbler;['c64', 'italian progressive rock', 'neo-progressive', 'norwegian prog', 'progressive rock'];18638;18;{'norwegian', 'neo-progressive', 'rock', 'prog', 'c64', 'progressive', 'italian'}
02fDf7HEPtBZLtPzCyxSR2;lanark artefax;['deconstructed club', 'fluxwork', 'mandible', 'scottish electronic', 'uk experimental electronic'];17498;21;{'electronic', 'mandible', 'club', 'uk', 'fluxwork', 'experimental', 'scottish', 'deconstructed'}
058thnz6odaxoAN4n3cMBN;verdena;['bergamo indie', 'italian alternative'];146572;43;{'alternative', 'bergamo', 'indie', 'italian'}
05MlomiA9La0OiNIAGqECk;delta sleep;['brighton indie', 'british math rock', 'math pop', 'math rock'];94145;48;{'british', 'brighton', 'math', 'indie', 'rock', 'pop'}
05tfXy5v0DpYvuy4Sot4Nu;whourkr;['breakcore', 'cybergrind'];10584;14;{'cybergrind', 'breakcore'}
07UJz804RJxqNvxFXC3h9H;sam gellaitry;['future bass', 'scottish electronic', 'vapor twitch'];148604;54;{'bass', 'future', 'electronic', 'vapor', 'twitch', 'scottish'}
08hpJXZImSYgSb8kEbyXAA;reflux;[];2239;4;set()
0AZ3VR0YbFcS0Kgei7L2QF;russian circles;['american post-rock', 'instrumental post-rock', 'instrumental rock', 'post-metal', 'post-rock', 'sludge metal'];258467;46;{'post-rock', 'metal', 'american', 'sludge', 'instrumental', 'rock', 'post-metal'}
0AhnRzNnHI2Yhx9d00H5Cp;rendezvous point;['djent', 'progressive metal', 'sci-fi metal'];17920;28;{'progressive', 'djent', 'metal', 'sci-fi'}
0CfjW2VuMdrhWodHtG7DWi;envy;['japanese emo', 'japanese post-hardcore', 'japanese post-rock', 'japanese screamo', 'post-rock'];50990;35;{'post-rock', 'screamo', 'japanese', 'emo', 'post-hardcore'}
0D3h8NZqNp7BN97JwtV6eW;tigran hamasyan;['armenian folk', 'contemporary jazz', 'jazz piano', 'modern jazz piano'];169851;45;{'armenian', 'folk', 'modern', 'jazz', 'piano', 'contemporary'}
