id;name;genres;followers;popularity;specific_genre
0ybFZ2Ab08V8hueghSXm6E;opeth;['alternative metal', 'metal', 'progressive death metal', 'progressive metal', 'swedish metal', 'swedish progressive metal'];986455;59;{'alternative', 'progressive', 'metal', 'swedish', 'death'}
0yytxwS39QiLpI9GM7cOuL;il teatro degli orrori;['indie veneto', 'italian alternative', 'jazzcore'];57738;33;{'alternative', 'indie', 'jazzcore', 'italian', 'veneto'}
0z4ODfFM8PGE0A9r0tZ75J;vildhjarta;['djent', 'instrumental djent', 'thall'];123029;40;{'djent', 'thall', 'instrumental'}
0zZRbZrBprUwWRKnbaIEXq;øjne;['italian emo', 'italian post-hardcore', 'italian screamo', 'skramz'];11675;22;{'post-hardcore', 'skramz', 'emo', 'italian', 'screamo'}
13ubrt8QOOCPljQ2FL1Kca;a$ap rocky;['east coast hip hop', 'hip hop', 'rap'];15104368;86;{'hip', 'rap', 'coast', 'hop', 'east'}
14u4KXVp0iXQil79EpxXGc;the algorithm;['cyberpunk', 'djent', 'electronic djent', 'future rock', 'instrumental djent', 'instrumental rock'];100934;35;{'rock', 'future', 'cyberpunk', 'electronic', 'djent', 'instrumental'}
150xbiJGnTy1tSBZ9EFKnT;1349;['black metal', 'death metal', 'norwegian black metal', 'norwegian metal', 'technical black metal'];137825;38;{'metal', 'death', 'norwegian', 'black', 'technical'}
15UsOTVnJzReFVN1VCnxy4;xxxtentacion;['emo rap', 'miami hip hop', 'rap'];47067099;89;{'rap', 'hip', 'emo', 'hop', 'miami'}
16Uqo1jjtPiKI4zU1Ficgb;scale the summit;['djent', 'instrumental math rock', 'instrumental progressive metal', 'instrumental rock', 'progressive jazz fusion'];102895;31;{'fusion', 'jazz', 'rock', 'progressive', 'metal', 'djent', 'math', 'instrumental'}
17qfMEjKb5ry8L8mekQZfd;intronaut;['djent', 'jazz metal', 'post-metal', 'sludge metal'];66724;27;{'post-metal', 'sludge', 'jazz', 'metal', 'djent'}
183vQCgpuNJHxdDCYIpkA4;crash of rhinos;['derby indie', 'midwest emo'];8575;16;{'indie', 'emo', 'derby', 'midwest'}
18TNVFTJ6WfeicsMRrdJHI;metz;['canadian punk', 'crank wave', 'indie punk', 'noise pop', 'noise rock', 'post-hardcore'];84329;35;{'post-hardcore', 'indie', 'wave', 'rock', 'canadian', 'punk', 'pop', 'noise', 'crank'}
19f2JXwlRU26376TCKmp6L;gogo penguin;['british jazz', 'contemporary jazz', 'indie jazz', 'jazztronica', 'modern jazz trio', 'progressive jazz fusion'];246934;46;{'british', 'indie', 'jazz', 'progressive', 'jazztronica', 'contemporary', 'modern', 'trio', 'fusion'}
1AKQ12On2ydAN0jykcB929;aquilus;['atmospheric black metal', 'australian black metal', 'autonomous black metal', 'folk black metal', 'voidgaze'];14835;20;{'folk', 'voidgaze', 'australian', 'atmospheric', 'metal', 'black', 'autonomous'}
1DGpHnPOpMYY780hcQHmPB;hiroshi yoshimura;['ambient', 'fourth world', 'j-ambient'];115825;42;{'world', 'fourth', 'j-ambient', 'ambient'}
1Dvfqq39HxvCJ3GvfeIFuT;mastodon;['alternative metal', 'atlanta metal', 'metal', 'progressive groove metal', 'progressive sludge', 'sludge metal', 'stoner metal', 'stoner rock'];942206;61;{'groove', 'alternative', 'sludge', 'rock', 'stoner', 'progressive', 'metal', 'atlanta'}
1JSPpoXFLcEG2WhYlvmHPJ;yosi horikawa;['abstract beats', 'japanese experimental', 'japanese idm'];57336;34;{'experimental', 'beats', 'abstract', 'japanese', 'idm'}
